,LA,AOU,Attopeu,Attopeu,,AI,---4----,0001,,,
,LA,HNK,Ban Houaynamleuk,Ban Houaynamleuk,BL,AA,--3-----,1601,,1822N 10307E,
,LA,OUI,Ban Houei,Ban Houei,,AI,---4----,0001,,,
,LA,GT9,Ban Thanalèng,Ban Thanaleng,VT,RL,--3-----,1407,,1753N 10243E,
,LA,HOE,Houeisay,Houeisay,,AI,---4----,0001,,,
,LA,KOG,Khong,Khong,,AI,---4----,0001,,,
,LA,LXG,Luang Namtha,Luang Namtha,,AI,---4----,0001,,,
,LA,LPQ,Luang Prabang,Luang Prabang,,AI,---4----,0001,,,
,LA,UON,Muong Sai,Muong Sai,,AI,---4----,0001,,,
,LA,ODY,Oudomxay,Oudomxay,,AI,---4----,0001,,,
,LA,PKS,Paksane,Paksane,,AI,---4----,0001,,,
,LA,PKZ,Pakxe,Pakxe,,AI,--34----,9901,,,
,LA,PCQ,Phongsaly,Phongsaly,PH,RL,---4----,0907,,1830N 10225E,
,LA,NEU,Sam Neua,Sam Neua,,AI,---4----,0001,,,
,LA,VNA,Saravane,Saravane,,AI,---4----,0001,,,
,LA,SAV,Savannakhét,Savannakhet,,RL,--3--6--,1601,ZVK,1633N 10445E,
,LA,ZBY,Sayaboury,Sayaboury,,AI,---4----,0001,,,
,LA,SND,Seno,Seno,,AI,---4----,0001,,,
,LA,THK,Thakhek,Thakhek,,AI,---4----,0001,,,
,LA,THG,Thanaleng,Thanaleng,,RQ,--3-----,0207,,,
,LA,TLE,Thanalouang,Thanalouang,,RL,--3-----,0201,,2043N 10212E,
,LA,UDO,Udomxay,Udomxay,,AI,---4----,0001,,,
,LA,VGG,Vangrieng,Vangrieng,,AI,---4----,0001,,,
,LA,VAN,Vangtoud,Vangtoud,,RL,--3-----,9805,,,
,LA,VNG,Viengxay,Viengxay,,AI,---4----,0001,,,
,LA,VTE,Vientiane,Vientiane,,AI,---45---,9601,,,
,LA,XAY,Xayabury,Xayabury,,AI,---4----,0001,,,
,LA,XKH,Xieng Khouang,Xieng Khouang,,AI,---4----,0001,,,
,LA,XIE,Xienglom,Xienglom,,AI,---4----,0001,,,
